Id,neg,neu,pos,compound,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,target_compound,rank,title
399,0.0,1.0,0.0,0.0,1.0,False,"04 30, 2006",A2K44AH9XLQ5WV,0061900621,{'Format:': ' Hardcover'},Happy Mama,"Simply doesn't apply to our family, we don't feed babies this way.",Could do without the bottle feeding,1146355200,51,,0.1,23.0,I'm a Big Sister
245,0.0,0.954,0.046,0.2023,5.0,False,"11 30, 2014",ASC5GQUB1ZPPD,0061900621,{'Format:': ' Hardcover'},Dr. D,Bringing home a new baby needs to be handled with kid gloves for a 2 year old big sister. This book really helped my granddaughter understand her new baby sister wasn't coming home and playing dolls or eating pizza with her.,"Lets the ""little"" big sister know what to expect.",1417305600,,,0.1,23.0,I'm a Big Sister
43,0.0,0.923,0.077,0.3291,5.0,True,"12 17, 2016",A1E38ETRELK0OU,0061900621,{'Format:': ' Hardcover'},Erin,"My daughter loves this book, and I got it used for much cheaper and it only had slight tear on one of the pages but still looked brand new otherwise.",Great books for big sisters to be!,1481932800,,,0.3,23.0,I'm a Big Sister
223,0.0,0.938,0.062,0.34,5.0,True,"02 3, 2015",AAA3AXHBVOUC5,0061900621,{'Format:': ' Hardcover'},Jan Swanson,My daughter is a big sister and she is giving this book to the next generation of big sisters. The new baby always gets something and we started a tradition to give an appropriate book to the older sibling.,My daughter is a big sister and she is giving ...,1422921600,,,0.3,23.0,I'm a Big Sister
387,0.019,0.932,0.049,0.4945,5.0,False,"05 5, 2008",A1UIUISV9DV8RH,0061900621,{'Format:': ' Hardcover'},Buy all the things!,"This book among a couple of others really helped my daughter after her little sister was born. It was especially hard on her because she was an only child for 5 years, but this book explains exactly what she needed to know about being a big sister. Including the fact that she is still just as special to me as the baby is, even though I can't give her the attention I used to.",Great for new siblings,1209945600,,,0.5,23.0,I'm a Big Sister
131,0.0,0.814,0.186,0.4939,5.0,True,"12 4, 2015",A5FXVXX10FMQ1,0061900621,{'Format:': ' Hardcover'},Shopaholic55,This book is adorable. My toddler wanted me to read it over and over again.,Five Stars,1449187200,,,0.5,23.0,I'm a Big Sister
53,0.0,0.0,1.0,0.7003,4.0,True,"09 29, 2016",ANIRELKAL9FBK,0061900621,{'Format:': ' Hardcover'},WALSH,good gift,Four Stars,1475107200,,,0.7,23.0,I'm a Big Sister
132,0.0,0.868,0.132,0.7003,5.0,True,"12 2, 2015",ASOZGP0BBWA95,0061900621,{'Format:': ' Hardcover'},Kaitlin Burns,"We are due with our second and our two year old loves this book. When we started reading this, it seemed to really register that she has a sister coming and has impacted how she reacts to other babies as well.",We are due with our second and our two year ...,1449014400,,,0.7,23.0,I'm a Big Sister
153,0.0,0.667,0.333,0.8997,5.0,True,"09 25, 2015",A3AKLUQA47JQSN,0061900621,{'Format:': ' Hardcover'},IslandLiving,Our daughter loves this book!  It helps show the role she will play as a big sister and highlights how mom and dad will always think she is special!,Great story highlighting the new roles a big sister will get to do and highlights big sis will always be loved,1443139200,,,0.9,23.0,I'm a Big Sister
202,0.0,0.725,0.275,0.8997,5.0,True,"03 29, 2015",A22E6809OJVHYD,0061900621,{'Format:': ' Hardcover'},Daphne M. Caldwell,"Cute little books! I bought this and the ""I'm a Big Brother"" for our children when announcing our third pregnancy. So adorable and the children love to hear about something that relates with them.",Perfect for Breaking the News to Your Little One,1427587200,,,0.9,23.0,I'm a Big Sister
675,0.046,0.9,0.055,0.12,3.0,True,"10 15, 2014",A907M3K2FN3ZM,0062110721,{'Format:': ' Paperback'},brazilianmom,"Out of all the Pete the Cat series, this is one of my least favorites. It has a slower rhythm, if you've read other Pete the Cat books you'll know what I mean. When I am reading this for my son, I always can't wait for this book to be over. lol","Out of all the Pete the Cat series, this ...",1413331200,,,0.1,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
476,0.096,0.764,0.14,0.2579,5.0,False,"07 3, 2017",A13SR0F0BN9X8T,0062110721,{'Format:': ' Paperback'},JMW,"within on month, my child age 6 read this book and is her favorite! Now she reads to everyone without help",builds self confidence,1499040000,,,0.1,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
740,0.205,0.554,0.242,0.2951,5.0,True,"10 14, 2013",A24SIX4NYH9DNX,0062110721,{'Format:': ' Paperback'},Jodie Sipes,who doesnt love pete? great book TO ENGAGE THE CHILDREN AND KEEP THEM WANTING MORE! BUY IT TODAY YOU WILL BE HAPPY,Pete the Cat: Pete at the Beach (My First I Can Read),1381708800,,,0.3,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
544,0.115,0.706,0.179,0.2937,5.0,True,"03 1, 2016",A11M65RJ4YR5KU,0062110721,{'Format:': ' Paperback'},Janice,What's not to like? These Pete the Cat books are fun reading for beginning readers.,Five Stars,1456790400,,,0.3,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
685,0.087,0.714,0.199,0.4933,3.0,False,"08 21, 2014",AJQTLJQAU4KRF,0062110721,{'Format:': ' Paperback'},Kindle Customer,Not quiet as good as some of the other Pete the cat books but still OK.,"Not as good as other Pete the cat books, just Ok.",1408579200,,,0.5,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
650,0.0,0.484,0.516,0.4926,5.0,True,"12 29, 2014",A3E2FPVQ9MD2I7,0062110721,{'Format:': ' Paperback'},Wes Wischnofske,"Just as expected, thanks!","Just as expected, thanks!",1419811200,,,0.5,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
756,0.0,0.775,0.225,0.7003,5.0,True,"08 1, 2013",A3ND5YQJ4FVHS3,0062110721,{'Format:': ' Paperback'},Ida J Recu,Everybody loves Pete the Cat. Even the grown-ups as well as my daughter's class of school children. Buy it for your kids.,Pete the Cat: Pete at the Beach,1375315200,,,0.7,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
625,0.0,0.633,0.367,0.7003,5.0,True,"03 10, 2015",A1GY594C2RT5YD,0062110721,{'Format:': ' Paperback'},Vicki Wilson,The book came quickly and was packaged well. Grandson loves this series.,Great Book.,1425945600,,,0.7,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
751,0.0,0.643,0.357,0.9022,4.0,True,"08 17, 2013",A1XEPHNBPL9IBJ,0062110721,{'Format:': ' Paperback'},Rose,"All of the Pete the cat books are fun. Children feel a great deal of success in reading when they can read a ""whole"" book.",pete the cat at the beach,1376697600,,,0.9,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
517,0.066,0.803,0.131,0.904,3.0,False,"09 10, 2016",ALUZO8SLEA7S4,0062110721,{'Format:': ' Paperback'},cree,"We typically love Pete the Cat, and have all of the large books written by the original co-authors.  Unfortunately, since authorship has changed it seems the content of the Pete books has faded a bit.  While they're still fine as far as children's books go, the later books (including this one) seem to be missing some of the really imaginative, endearing qualities of the initial series.

There's not much content to this book really.  Pete goes to the beach.  He doesn't want to surf.  Then he ends up trying it.  There are none of the cute little phrases or quips that I've come to appreciate in Pete the Cat books.

The newer Pete stories, this one particularly, seem to be missing something.  Hopefully they'll be able to get back the charm that made Pete such a lovable character to begin with!",NOT ONE OF THE BETTER PETE BOOKS,1473465600,8,"['https://images-na.ssl-images-amazon.com/images/I/81arMeNERcL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81vuVoJLdBL._SY88.jpg']",0.9,38.0,Pete the Cat: Pete at the Beach (My First I Can Read)
811,0.0,1.0,0.0,0.0,3.0,True,"11 13, 2017",A2V9GJEJ0KAAIN,0142405809,{'Format:': ' Paperback'},B. Kolvek &amp;amp;amp; Family,Why is the whale a he? why is the snail a she?,Three Stars,1510531200,,,0.1,13.0,The Snail and the Whale
812,0.0,0.808,0.192,0.2263,4.0,True,"11 8, 2017",A30VM0TL0DMY3M,0142405809,{'Format:': ' Board book'},Wahid Momand,Nice story but the text is way too small,Four Stars,1510099200,,,0.1,13.0,The Snail and the Whale
820,0.0,0.466,0.534,0.3164,4.0,True,"10 1, 2017",AQEUZMAUJIWFO,0142405809,{'Format:': ' Paperback'},mistyb,Cute but short!,Four Stars,1506816000,,,0.3,13.0,The Snail and the Whale
833,0.0,0.465,0.535,0.3182,5.0,True,"07 28, 2017",A1S4EBOA5X4B14,0142405809,{'Format:': ' Paperback'},Celia F. Bitter,What an adventure.,Five Stars,1501200000,,,0.3,13.0,The Snail and the Whale
893,0.0,0.842,0.158,0.4926,4.0,True,"10 20, 2016",A1WTINXJONW86Q,0142405809,{'Format:': ' Hardcover'},KDM,"Although I found the book entertaining, the real connoisseur of children's literature, my granddaughter, was less enthralled. Go figure!",Entertaining,1476921600,,,0.5,13.0,The Snail and the Whale
1006,0.026,0.879,0.095,0.508,2.0,True,"05 20, 2015",A3E9I7FP96XVUH,0142405809,{'Format:': ' Paperback'},Rachel Handing,"We bought this book because we are VERY fond of other Julia Donaldson books and this one fell flat for us.  The story line isn't all that interesting and a lot of the word play gets your mouth jumbled up (think like reading a Dr. Seuss book, but not funny).  We always pass on this book and probably will donate soon.",The story line isn't all that interesting and a lot of the word play gets your mouth jumbled up (think like reading a Dr,1432080000,,,0.5,13.0,The Snail and the Whale
1054,0.0,0.756,0.244,0.7003,4.0,False,"07 30, 2014",A2U1YALT31VVSQ,0142405809,{'Format:': ' Paperback'},Tomxypdq,"other books by this author artist duo are better, this one still better than many other books by other authors","other books by this author artist duo are better, this one still better than many other books ...",1406678400,,,0.7,13.0,The Snail and the Whale
881,0.0,0.408,0.592,0.7003,5.0,True,"01 3, 2017",A1T947G26AEAQ3,0142405809,{'Format:': ' Paperback'},C. Layton,I like the rhyming & fun story line,Fun!,1483401600,,,0.7,13.0,The Snail and the Whale
1066,0.0,0.698,0.302,0.9022,5.0,True,"05 2, 2014",A1E9TDQUAHSBOI,0142405809,{'Format:': ' Paperback'},Lauretta Prince,I read it to her and it held her interest until the end. The story was cute with and nice ending.  The illustrations were very colorful.  I'd say we both enjoyed the book,i bought kThe Snail and the Whale for my four year old granddaughter.,1398988800,,,0.9,13.0,The Snail and the Whale
1091,0.027,0.785,0.188,0.8978,5.0,True,"07 8, 2013",A3QUWYRQIO39E8,0142405809,{'Format:': ' Paperback'},Heather,"The first half of the story reads like a journey or sea shanty for a snail and a whale.  With a ""sniff and a sigh"". So cute. Later, the journey puts the whale in danger and the snail becomes an advocate to save the whale. His little voice is heard and children come running to save the whale.  A great book simply for the rhyming but also fun for older kids as a model of environmental activism.",Adorable snail adventure and actovist heroics for class of kids,1373241600,,,0.9,13.0,The Snail and the Whale
1315,0.105,0.769,0.126,0.1202,3.0,False,"06 10, 2015",A1U5GBB6VX9FEL,014242286X,{'Format:': ' Paperback'},Doug Warren,"I read this because several girls in my class have read it, and some of them have come up to me pointing at a word or sentence and asking what it means, and um, yeah. It peaked my curiosity.

The book is really good, but not great. Definitely subject matter that some parents would need to be concerned about, but I think most kids who pick it up will be mature enough for it. You can definitely tell the author has some post-Modern influences, which is unusual to see in a YA novel, but the changing narrator and non-connected story line (at least at the beginning) work.

The ending was so stupid and such a cop out, though. It is insulting to the rest of the book. The whole book is real and dealing with issues, and you can think of how the book could in and be happy, but the author over does it. Throws in way too many things. And the happy ending you are wanting is ruined because there is just so much thrown into it.",Definitely drew me in at first . . . then . . .,1433894400,4,,0.1,21.0,Counting by 7s
1222,0.0,1.0,0.0,0.0,2.0,True,"08 22, 2016",AKMAFCOTE87O2,014242286X,{'Format:': ' Paperback'},CreativeMom,not my favoret,Two Stars,1471824000,,,0.1,21.0,Counting by 7s
1224,0.0,0.0,1.0,0.296,4.0,True,"08 9, 2016",A2N4ZBFUMMDGE6,014242286X,{'Format:': ' Paperback'},William Brinkley,ok,Four Stars,1470700800,,,0.3,21.0,Counting by 7s
1324,0.065,0.858,0.078,0.3153,5.0,False,"04 28, 2015",A14GD5FUN5S0QW,014242286X,{'Format:': ' Paperback'},Candice Slater,"I am reading this book called Counting By 7sby by Holly Goldberg Sloan. The beginning of the book is about Willow, the main character, and about she came to be at the position that she is at now. My favorite character is Willow because we share so much in common. The only part that i didn't like was that the book switches points of view and so it was kind of confusing at first. I would recommend this book to people who like Drama because this book has a lot of drama.

By: Abigail M.",My favorite character is Willow because we share so much in ...,1430179200,,,0.3,21.0,Counting by 7s
1478,0.066,0.86,0.075,0.5063,5.0,False,"09 27, 2013",A2G7BG9AECUM06,014242286X,{'Format:': ' Hardcover'},E. Kennen,"Willow is a genius who's observational skills and medical prowess make Sherlock Homes and House, MD look like amateurs. A lover of life, she is a gifted horticulturalist. What she's not so good at, however, is understanding how people work. Which is too bad because, having the particularly horrendous luck of being orphaned twice, she must now navigate through unimaginable pain and loss while unmoored to any particular community.

Except... maybe Willow does have more support than she first realizes, from the most unlikely sources: a taxi driver who thinks she's his guardian angel; an inept, angry guidance counselor; and a Vietnamese family who live in the garage behind their mother's nail salon.

Willow thinks so differently than most people that I can imagine some young readers will find her offputting... at first. But her quirks and logic are entirely endearing and soon begin to feel natural... to everyone, except Willow herself. Her first person narrative is divided by third-person glimpses at the people who's world she's changing... and who are changing her world.
This was a compulsive read - the 300-odd pages just sailed beneath my fingertips. Author Holly Goldberg Sloan does an amazing job of bringing the statistical anomaly that is Willow to life, and of making her feelings and actions seem realistic, while somehow retaining a lightness and hope even in Willow's darkest hours.

Willow might not resonate with every young reader, but to those she does, she will not soon be forgotten.",A Cumpulsive Read,1380240000,,,0.5,21.0,Counting by 7s
