overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
5.0,17,True,"07 18, 2012",A1ZC5VLAK29XT0,0374300216,{'Format:': ' Hardcover'},Mel,One of the most loving books I have ever read. My kids love this book and when I get the chance I read it to my nephew on the phone. We love this book.,Sweet,1342569600,
5.0,25,True,"06 10, 2009",A8W87C6N28NQI,0374300216,{'Format:': ' Hardcover'},Good Book Guy,"A really fun book for parents and kids alike with a great rhyming flow, tons of interesting animals (some that were ""new"" to our daughter's everyday animal knowledge), and a cute ""refrain"" that has mamma sloth and her cub ""still kissing goodnight"" throughout the book (because they're slow).",Our daughter's current favorite,1244592000,
5.0,,True,"04 19, 2018",A1ZPS1Q8G7U70U,0374300216,{'Format:': ' Board book'},kim sowala,Cute,Five Stars,1524096000,
4.0,,True,"04 18, 2018",ANBLLF7T8WR9C,0374300216,{'Format:': ' Board book'},Matt,Good product and fast shipping.,Four Stars,1524009600,
5.0,,True,"04 18, 2018",A3IL8YK77JL502,0374300216,{'Format:': ' Board book'},Karen,Perfect companion with Floppy Ear Elephant stuffed animal.,Read to infants and all kids.,1524009600,
5.0,,True,"04 17, 2018",AQ1TQ4AJCFI6E,0374300216,{'Format:': ' Board book'},Avid reader,Simply adorable book for baby! There is a pre-printed inscription on the inside front cover. I assumed I was getting a new book and not a pre-owned one. Trying to decide how to explain this to my granddaughter at her baby shower!!,Adorable book,1523923200,
5.0,,True,"04 10, 2018",A2J0RMMKFC7EQM,0374300216,{'Format:': ' Board book'},auntnan,"Such a lovely book.  The artwork is terrific, the colors vibrant and the verses are cute and fun to read. My 1-year-old great niece loved it.. I saw her turning the pages and babbling over the animals three times at our family party. I've just bought another for a great nephew.",Wonderful art and verses. Totally charming!,1523318400,
5.0,,True,"04 6, 2018",A2AQ2TIABNXD8R,0374300216,{'Format:': ' Board book'},MAC,sweet book,Five Stars,1522972800,
4.0,,True,"04 4, 2018",A2J14RQQWE9VSD,0374300216,{'Format:': ' Board book'},CASMAN71,The Kid loves these books.,Great for little readers,1522800000,
5.0,,True,"03 28, 2018",A1NM18KLC0I0YW,0374300216,{'Format:': ' Board book'},Laurie D. Paquin-leet,One of my grand-nieces favorite bedtime books!,Five Stars,1522195200,
5.0,,True,"03 26, 2018",A1VW2WB2I4E2UA,0374300216,{'Format:': ' Board book'},Amazon Customer,Great,Five Stars,1522022400,
5.0,,True,"03 17, 2018",A3ONDICKHS7JG9,0374300216,{'Format:': ' Board book'},Amazon Customer,Very cute book!,Five Stars,1521244800,
5.0,,True,"03 16, 2018",A3GFFMHL2TNJI3,0374300216,{'Format:': ' Board book'},Brian,We loved this book so much we purchased it for a friend of ours. This book is heart warming and incredibly charming. Don't think twice before buying this book. I assure you... You'll find it as adorable as we do.,Absolutely Adorable,1521158400,
4.0,,True,"03 15, 2018",A3N09M5ULZNPUS,0374300216,{'Format:': ' Board book'},fairy princess,cute story,Four Stars,1521072000,
5.0,,True,"03 13, 2018",A37CJHCUQ2P9UY,0374300216,{'Format:': ' Board book'},Laura S.,Made a great gift for an expectant mom who loves elephants. She received 2 others as well!,Gift,1520899200,
5.0,,True,"03 9, 2018",A28SIIFYO0TO67,0374300216,{'Format:': ' Board book'},Amazon Customer,I bought this for my cousin's first birthday along with the Bedtime Originals Choo Choo Express Plush Elephant - Humphrey . Her Mom told me she carries the elephant around everywhere and loves to see a picture of her elephant in the book. Super happy with this purchase. Grateful for the Amazon recommendation as well.,One Year Old Approved,1520553600,
5.0,,True,"03 6, 2018",A305G4K7YA00XO,0374300216,{'Format:': ' Board book'},Vicky Kapp,Great!,Five Stars,1520294400,
5.0,,True,"03 2, 2018",A2KA9WJAJ2DFBC,0374300216,{'Format:': ' Board book'},Katherine Spikes,My kids love the book!,Five Stars,1519948800,
5.0,,True,"02 28, 2018",A2IW4O8790AIW,0374300216,{'Format:': ' Board book'},F. Gast,Bought this as a gift for my grand daughter.  It is a part of her nightly bedtime routine.,Five Stars,1519776000,
5.0,,True,"02 28, 2018",A3I7LFG9ARD05D,0374300216,{'Format:': ' Board book'},Debbie,This was a gift and a huge hit.,Five Stars,1519776000,
5.0,,True,"02 26, 2018",AW39YGNLM74YB,0374300216,{'Format:': ' Board book'},Carole R. Price,Was a gift for a newborn and his mother loved it!,Five Stars,1519603200,
5.0,,True,"02 24, 2018",A2OGD1L2D1FPLQ,0374300216,{'Format:': ' Board book'},Linda Amos,Great little book for toddlers.,Five Stars,1519430400,
4.0,,True,"02 22, 2018",A2SNPHBLN4SYF4,0374300216,{'Format:': ' Board book'},HMP,Adorable little book!,Four Stars,1519257600,
5.0,,True,"02 17, 2018",A32GPZ2QNMA69U,0374300216,{'Format:': ' Board book'},R. Friend,Bought for a baby shower. The mother wanted to build a library for her new baby. This is a really cute book.,Cute book and great price!,1518825600,
5.0,,True,"02 13, 2018",A3YZO2LHUF8D0,0374300216,{'Format:': ' Paperback'},Skyla,so cute,Five Stars,1518480000,
4.0,,True,"02 12, 2018",A3QZRVHZDKWMNS,0374300216,{'Format:': ' Board book'},alyssa,Cute bedtime book with adorable illustrations - part of our regular bedtime rotation with our toddler.,Four Stars,1518393600,
5.0,,True,"02 12, 2018",A2AQPEB83YVQF9,0374300216,{'Format:': ' Board book'},MARY,Cute book,Bought for grandchild,1518393600,
5.0,,True,"02 12, 2018",A14HFAPXCUP3TA,0374300216,{'Format:': ' Board book'},Shay B,Super cute book! Love the rhyming and all the different animals!,Cute animal book!,1518393600,
5.0,,True,"02 11, 2018",A192VVNOJMNMRH,0374300216,{'Format:': ' Board book'},Ann Haughton,My grandbaby loves to hear this read to her. She loves the images.,Read Time,1518307200,
5.0,,True,"02 10, 2018",A3KOQMGKKSAZ1H,0374300216,{'Format:': ' Board book'},Debbie Price,Cute book that we bought for someone we knew that was having a baby. They have really enjoyed reading it to the little one.,Sweet Book,1518220800,
5.0,,True,"02 7, 2018",A1U2066L0D8K45,0374300216,{'Format:': ' Board book'},schoolteacherlady,Good bed time read to the toddler.,Good Bedtime book,1517961600,
5.0,,True,"01 29, 2018",A110P9LV4XVX0Z,0374300216,{'Format:': ' Board book'},Sherrie Dornberger,sweetest book!!!,looking forward to reading this to my grand son!,1517184000,
5.0,,True,"01 25, 2018",ABWE8CZ7RQ71L,0374300216,{'Format:': ' Board book'},Betty,grandsons christmas gift,Five Stars,1516838400,
5.0,,True,"01 24, 2018",A1KVXEAF421XHB,0374300216,{'Format:': ' Board book'},Shelley,fine,Five Stars,1516752000,
5.0,,True,"01 24, 2018",A15VK8630F6UCH,0374300216,{'Format:': ' Board book'},Linda Simeone,Excellent book!,Five Stars,1516752000,
5.0,,True,"01 22, 2018",A3MQ98LDJDY2V5,0374300216,{'Format:': ' Board book'},JanLayMay,Super sweet story!  Parents love reading it to their son.,Great gift!!!,1516579200,
5.0,,True,"01 21, 2018",A2Q1V1QVO5F6D3,0374300216,{'Format:': ' Board book'},Cindy,I found this story for my nanny bag and love reading it to my grandchildren as well! Its my current favorite! Captivating pictures and words...beautifully done.,Captivating pictures and words,1516492800,
3.0,,True,"01 20, 2018",AQS125PMH2O6E,0374300216,{'Format:': ' Board book'},mac,the friend I gave it to seems to like it.,Three Stars,1516406400,
4.0,,True,"01 17, 2018",A1ILZEP0ASEIIX,0374300216,{'Format:': ' Board book'},Amazon Customer,cute gift,Four Stars,1516147200,
5.0,,True,"01 12, 2018",A3SPD2O3SX70UZ,0374300216,{'Format:': ' Board book'},kristina,Love this book! So cute. My son and I read almost every night.,Cute book!,1515715200,
