asin,rank,rank_origin
0439813786,1.0,37
0375850864,2.0,48
1419708457,3.0,6
0399230033,4.0,21
0761130675,5.0,29
0439673631,6.0,47
1423133080,7.0,18
0811877825,8.0,8
0374360960,9.0,30
1452109206,10.0,36
1442429771,11.0,35
037582233X,12.0,27
0142405809,13.0,13
0147515823,14.0,39
0545166810,15.0,40
0375858245,16.0,45
0439139600,17.0,17
0312346069,18.0,49
1554537045,19.0,19
0439064864,20.0,25
014242286X,21.0,46
1938298071,22.0,15
0061900621,23.0,34
0385376715,24.0,1
0385743572,25.0,43
0147510481,26.0,31
0545540607,27.0,22
0375848207,28.0,26
142319957X,29.0,14
1609580834,30.0,7
1609580427,31.0,10
0307931528,32.0,33
0439738199,33.0,16
0887431453,34.0,5
0312367481,35.0,41
0375868488,36.0,50
0439358078,37.0,11
0062110721,38.0,23
0764152319,39.0,32
0763644765,40.0,9
1416980067,41.0,42
0374300216,42.0,4
1493527487,43.0,24
038538369X,44.0,2
0439023521,45.0,28
0961519762,46.0,44
0761456864,47.0,38
1465414053,48.0,20
0803731930,49.0,12
0375813616,50.0,3
